    0.10000E+00   0.25000E-02
    0.20000E+00   0.12500E-01
    0.30000E+00   0.32500E-01
    0.40000E+00   0.62500E-01
    0.50000E+00   0.10250E+00
    0.60000E+00   0.15250E+00
    0.70000E+00   0.21250E+00
    0.80000E+00   0.28252E+00
    0.90000E+00   0.36241E+00
    0.10000E+01   0.45036E+00
    0.11000E+01   0.53998E+00
    0.12000E+01   0.61983E+00
    0.13000E+01   0.67912E+00
    0.14000E+01   0.71460E+00
    0.15000E+01   0.73011E+00
    0.16000E+01   0.72974E+00
    0.17000E+01   0.71459E+00
    0.18000E+01   0.68578E+00
    0.19000E+01   0.64680E+00
    0.20000E+01   0.60157E+00
    0.21000E+01   0.55215E+00
    0.22000E+01   0.49915E+00
    0.23000E+01   0.44363E+00
    0.24000E+01   0.38732E+00
    0.25000E+01   0.33145E+00
    0.26000E+01   0.27611E+00
    0.27000E+01   0.22150E+00
    0.28000E+01   0.16857E+00
    0.29000E+01   0.11809E+00
    0.30000E+01   0.70229E-01
    0.31000E+01   0.25259E-01
    0.32000E+01  -0.16059E-01
    0.33000E+01  -0.50831E-01
    0.34000E+01  -0.69162E-01
    0.35000E+01  -0.53785E-01
    0.36000E+01   0.55008E-02
    0.37000E+01   0.95272E-01
    0.38000E+01   0.18757E+00
    0.39000E+01   0.26790E+00
    0.40000E+01   0.34263E+00
    0.41000E+01   0.41813E+00
    0.42000E+01   0.48829E+00
    0.43000E+01   0.54635E+00
    0.44000E+01   0.59328E+00
    0.45000E+01   0.63007E+00
    0.46000E+01   0.65438E+00
    0.47000E+01   0.66676E+00
    0.48000E+01   0.67015E+00
    0.49000E+01   0.66471E+00
    0.50000E+01   0.65027E+00
    0.51000E+01   0.62970E+00
    0.52000E+01   0.60544E+00
