    0.50000E+01    0.12379E+00
    0.10000E+02    0.16392E+00
    0.15000E+02    0.19122E+00
    0.20000E+02    0.21287E+00
    0.25000E+02    0.23109E+00
    0.30000E+02    0.24698E+00
    0.35000E+02    0.26116E+00
    0.40000E+02    0.27404E+00
    0.45000E+02    0.28586E+00
    0.50000E+02    0.29645E+00
    0.55000E+02    0.30672E+00
    0.60000E+02    0.31639E+00
    0.65000E+02    0.32553E+00
    0.70000E+02    0.33420E+00
    0.75000E+02    0.34247E+00
    0.80000E+02    0.35037E+00
    0.85000E+02    0.35795E+00
    0.90000E+02    0.36523E+00
    0.95000E+02    0.37224E+00
    0.10000E+03    0.37902E+00
