      22   0.99782E+01  -0.12182E+00  -0.21776E-01  -0.62182E+00  -0.10000E+01
      22   0.99142E+01  -0.73231E+00  -0.85820E-01  -0.12323E+01  -0.20000E+01
      22   0.98115E+01  -0.13214E+01  -0.18852E+00  -0.18214E+01  -0.30000E+01
      22   0.96754E+01  -0.18810E+01  -0.32455E+00  -0.23810E+01  -0.40000E+01
      22   0.95123E+01  -0.24057E+01  -0.48767E+00  -0.29057E+01  -0.50000E+01
      22   0.93286E+01  -0.28923E+01  -0.67144E+00  -0.33923E+01  -0.60000E+01
      22   0.91301E+01  -0.33400E+01  -0.86986E+00  -0.38400E+01  -0.70000E+01
      22   0.89224E+01  -0.37494E+01  -0.10776E+01  -0.42494E+01  -0.80000E+01
      22   0.87095E+01  -0.41224E+01  -0.12905E+01  -0.46224E+01  -0.90000E+01
      22   0.84953E+01  -0.44611E+01  -0.15047E+01  -0.49611E+01  -0.10000E+02
      22   0.82823E+01  -0.47684E+01  -0.17177E+01  -0.52684E+01  -0.11000E+02
      22   0.80725E+01  -0.50472E+01  -0.19275E+01  -0.55472E+01  -0.12000E+02
      22   0.78675E+01  -0.53002E+01  -0.21325E+01  -0.58002E+01  -0.13000E+02
      22   0.76681E+01  -0.55301E+01  -0.23319E+01  -0.60301E+01  -0.14000E+02
      22   0.74750E+01  -0.57392E+01  -0.25250E+01  -0.62392E+01  -0.15000E+02
      22   0.72887E+01  -0.59299E+01  -0.27113E+01  -0.64299E+01  -0.16000E+02
      22   0.71114E+01  -0.61013E+01  -0.28886E+01  -0.66013E+01  -0.17000E+02
      22   0.69392E+01  -0.62604E+01  -0.30608E+01  -0.67604E+01  -0.18000E+02
      22   0.67738E+01  -0.64064E+01  -0.32262E+01  -0.69064E+01  -0.19000E+02
      22   0.66150E+01  -0.65407E+01  -0.33850E+01  -0.70407E+01  -0.20000E+02
      22   0.64627E+01  -0.66644E+01  -0.35373E+01  -0.71644E+01  -0.21000E+02
      22   0.63167E+01  -0.67787E+01  -0.36833E+01  -0.72787E+01  -0.22000E+02
