  0.42537E+00  0.78603E+00  0.79293E+05  0.18401E+05 -0.54461E+04
  0.42817E+00  0.78334E+00  0.15779E+06  0.35837E+05 -0.12202E+05
  0.43101E+00  0.78062E+00  0.23476E+06  0.52245E+05 -0.20224E+05
  0.43388E+00  0.77789E+00  0.30961E+06  0.67606E+05 -0.29429E+05
  0.43674E+00  0.77515E+00  0.38185E+06  0.81932E+05 -0.39702E+05
  0.43958E+00  0.77242E+00  0.45117E+06  0.95266E+05 -0.50915E+05
  0.44239E+00  0.76970E+00  0.51731E+06  0.10766E+06 -0.62930E+05
  0.44515E+00  0.76699E+00  0.58027E+06  0.11921E+06 -0.75618E+05
  0.44785E+00  0.76431E+00  0.64003E+06  0.12997E+06 -0.88859E+05
  0.45049E+00  0.76166E+00  0.69668E+06  0.14004E+06 -0.10254E+06
  0.45307E+00  0.75903E+00  0.75032E+06  0.14948E+06 -0.11657E+06
  0.45558E+00  0.75643E+00  0.80111E+06  0.15836E+06 -0.13088E+06
  0.45795E+00  0.75396E+00  0.84794E+06  0.16630E+06 -0.14502E+06
  0.46032E+00  0.75143E+00  0.89337E+06  0.17422E+06 -0.15961E+06
  0.46262E+00  0.74892E+00  0.93650E+06  0.18176E+06 -0.17431E+06
  0.46486E+00  0.74644E+00  0.97742E+06  0.18897E+06 -0.18907E+06
  0.46703E+00  0.74399E+00  0.10163E+07  0.19588E+06 -0.20385E+06
  0.46915E+00  0.74156E+00  0.10532E+07  0.20253E+06 -0.21864E+06
  0.47122E+00  0.73916E+00  0.10884E+07  0.20894E+06 -0.23340E+06
  0.47322E+00  0.73678E+00  0.11218E+07  0.21514E+06 -0.24812E+06
  0.47518E+00  0.73443E+00  0.11537E+07  0.22116E+06 -0.26278E+06
  0.47708E+00  0.73210E+00  0.11841E+07  0.22701E+06 -0.27737E+06
  0.47894E+00  0.72979E+00  0.12132E+07  0.23272E+06 -0.29189E+06
  0.48075E+00  0.72750E+00  0.12409E+07  0.23830E+06 -0.30632E+06
  0.48252E+00  0.72523E+00  0.12675E+07  0.24376E+06 -0.32066E+06
  0.48424E+00  0.72299E+00  0.12929E+07  0.24912E+06 -0.33490E+06
  0.48593E+00  0.72076E+00  0.13172E+07  0.25439E+06 -0.34903E+06
  0.48757E+00  0.71855E+00  0.13406E+07  0.25957E+06 -0.36307E+06
  0.48918E+00  0.71636E+00  0.13629E+07  0.26469E+06 -0.37699E+06
  0.49075E+00  0.71418E+00  0.13844E+07  0.26974E+06 -0.39081E+06
  0.49229E+00  0.71203E+00  0.14050E+07  0.27473E+06 -0.40451E+06
  0.49379E+00  0.70989E+00  0.14249E+07  0.27967E+06 -0.41810E+06
